index, name, memory.total [MiB], memory.used [MiB], utilization.gpu [%], power.draw [W]
0, NVIDIA GeForce RTX 5090, 32607 MiB, 2 MiB, 0 %, 11.12 W
1, NVIDIA GeForce RTX 5090, 32607 MiB, 2 MiB, 0 %, 12.17 W
2, NVIDIA GeForce RTX 5090, 32607 MiB, 2 MiB, 0 %, 7.49 W
3, NVIDIA GeForce RTX 5090, 32607 MiB, 2 MiB, 0 %, 11.99 W
1787996448,0, 16322, 100, 105.53;1, 30862, 65, 295.74;2, 30872, 67, 305.87;3, 15818, 69, 328.68
1787996453,0, 16678, 20, 139.46;1, 17040, 57, 229.00;2, 17040, 65, 272.42;3, 16744, 53, 169.63
1787996458,0, 31368, 68, 287.48;1, 30862, 64, 320.29;2, 30872, 69, 286.29;3, 30862, 69, 299.17
1787996463,0, 17138, 100, 145.04;1, 16936, 42, 329.44;2, 16532, 0, 129.06;3, 16760, 88, 162.43
1787996468,0, 31370, 66, 286.36;1, 30864, 63, 307.86;2, 30872, 68, 287.32;3, 30862, 68, 298.01
1787996473,0, 17014, 47, 199.03;1, 16560, 30, 212.01;2, 16538, 63, 191.54;3, 16506, 48, 214.54
1787996478,0, 31370, 67, 286.86;1, 30862, 65, 294.62;2, 30872, 70, 280.99;3, 30862, 67, 325.89
1787996483,0, 17504, 56, 172.91;1, 16980, 0, 181.93;2, 17000, 0, 139.40;3, 16988, 0, 155.90
1787996488,0, 31370, 64, 282.14;1, 30862, 64, 303.78;2, 30872, 70, 288.14;3, 30862, 67, 331.67
1787996493,0, 16522, 68, 297.80;1, 15958, 65, 289.43;2, 16130, 70, 256.54;3, 16030, 100, 251.04
1787996498,0, 16324, 64, 294.25;1, 15816, 63, 324.00;2, 15826, 67, 262.67;3, 30862, 67, 318.77
1787996503,0, 31382, 67, 238.30;1, 30878, 64, 274.42;2, 30886, 58, 235.25;3, 30876, 67, 265.49
1787996508,0, 31382, 69, 298.29;1, 30878, 66, 334.63;2, 30886, 72, 289.62;3, 15818, 100, 117.25
1787996514,0, 17580, 24, 353.68;1, 17074, 68, 356.22;2, 17070, 75, 318.34;3, 16640, 66, 260.90
1787996519,0, 31370, 67, 294.30;1, 30864, 63, 328.83;2, 30876, 68, 313.32;3, 15818, 68, 333.30
1787996524,0, 17548, 66, 279.47;1, 16708, 48, 218.90;2, 16786, 50, 246.41;3, 16566, 65, 207.18
1787996529,0, 16324, 100, 123.24;1, 30864, 64, 328.75;2, 15828, 100, 104.66;3, 15818, 100, 136.71
